台湾,#genre#

CNN,mitv://ns2.hellotvvod.com:9906/596dc4aa1fd44fea823d4be99ba706af.ts
民视,mitv://ns2.hellotvvod.com:9906/47c8a51f704b4ba28e49473cae1d3ec8.ts
人间卫视,mitv://ns2.hellotvvod.com:9906/ec1860d03f5e4fcca3eea7dd1f3bed35.ts
台视,mitv://ns2.hellotvvod.com:9906/4a996da882254605b87491c5b092cd9c.ts
大爱,mitv://ns2.hellotvvod.com:9906/e1321a81520b4e748ba6e7d89132e198.ts
中视,mitv://ns2.hellotvvod.com:9906/3d11da3902d84da89a43cc9ccab8c1ed.ts
霹雳台湾台,mitv://ns2.hellotvvod.com:9906/8161bc45877643ed9e75a3056d552bab.ts
华视,mitv://ns2.hellotvvod.com:9906/29a658ee3aa84087ac9cefc6808b1ceb.ts
公视,mitv://ns2.hellotvvod.com:9906/392ab452894e4605968e6d20216c603f.ts
公视台语台,mitv://ns2.hellotvvod.com:9906/7773e8d4f84a4441a22a709e3a39c123.ts
好消息,mitv://ns2.hellotvvod.com:9906/4e67c260641f4e2980c3f89d32bcb85e.ts
原住民电视台,mitv://ns2.hellotvvod.com:9906/b7bcc36701eb4ada8c09b904af618c9f.ts
客家电视台,mitv://ns2.hellotvvod.com:9906/f61720d6e7b84dd398c50ad932b629d9.ts
国家地理频道,mitv://ns2.hellotvvod.com:9906/2316e18182bf407d9603f14aa71c793f.ts
探索频道,mitv://ns2.hellotvvod.com:9906/9abbb6ed237b4e48b156f76b28cef58e.ts
TLC旅游生活,mitv://ns2.hellotvvod.com:9906/cdc60621f5e54946aa50dc7e2e7e7dfb.ts
动物星球,mitv://ns2.hellotvvod.com:9906/6ca4d108b35046289999b36d7110503b.ts
CN卡通频道,mitv://ns2.hellotvvod.com:9906/57b08c76cec64477b9313175d238bbef.ts
迪士尼频道,mitv://ns2.hellotvvod.com:9906/16d8898515424f89abd20fa828227d92.ts
MOMO亲子台,mitv://ns2.hellotvvod.com:9906/093deaf8674741b699af442a28c67403.ts
